Province,Year,Harvest Area(ha),Productivity (ku/ha),Production(ton),Island
Southeast Sulawesi,2021,127517.29,41.57,530029.08,Sulawesi
Southeast Sulawesi,2022,118258.8,40.5,478958.0,Sulawesi
Southeast Sulawesi,2023,113930.26,42.08,479407.25,Sulawesi
Southeast Sulawesi,2024,129999.61,42.76,555836.08,Sulawesi
North Sulawesi,2018,70352.62,46.47,326929.74,Sulawesi
North Sulawesi,2019,62020.39,44.79,277776.31,Sulawesi
North Sulawesi,2020,61827.86,40.25,248879.48,Sulawesi
North Sulawesi,2021,59182.52,39.35,232884.76,Sulawesi
North Sulawesi,2022,58195.56,41.88,243730.3,Sulawesi
North Sulawesi,2023,54562.95,43.65,238193.41,Sulawesi
North Sulawesi,2024,59121.96,46.2,273134.94,Sulawesi
West Sumatra,2018,313050.82,47.37,1483076.48,Sumatra
West Sumatra,2019,311671.23,47.58,1482996.01,Sumatra
West Sumatra,2020,295664.47,46.92,1387269.29,Sumatra
West Sumatra,2021,272391.95,48.36,1317209.38,Sumatra
West Sumatra,2022,271883.1,50.52,1373532.0,Sumatra
West Sumatra,2023,300564.77,49.32,1482468.79,Sumatra
West Sumatra,2024,295278.98,45.94,1356467.93,Sumatra
South Sumatra,2018,581574.61,51.48,2994191.84,Sumatra
South Sumatra,2019,539316.52,48.27,2603396.24,Sumatra
South Sumatra,2020,551320.76,49.75,2743059.68,Sumatra
South Sumatra,2021,496241.65,51.44,2552443.19,Sumatra
South Sumatra,2022,513378.2,54.06,2775069.0,Sumatra
South Sumatra,2023,504143.03,56.19,2832773.92,Sumatra
South Sumatra,2024,521092.21,55.83,2909411.67,Sumatra
North Sumatra,2018,408176.45,51.65,2108284.72,Sumatra
North Sumatra,2019,413141.24,50.32,2078901.59,Sumatra
North Sumatra,2020,388591.22,52.51,2040500.19,Sumatra
North Sumatra,2021,385405.0,52.0,2004142.51,Sumatra
North Sumatra,2022,411462.1,50.76,2088584.0,Sumatra
North Sumatra,2023,406109.49,51.4,2087474.15,Sumatra
North Sumatra,2024,419463.48,52.56,2204875.51,Sumatra
